task_key,task_id,experiment_id,independent_measure_pair,dependent_measure,category,n,n0,n1,true_value_t0,true_value_t1,true_ate,true_ate_normalized,y_rate
PSA25TA||No Emotion vs. Emotion||posttest,0,PSA25TA,No Emotion vs. Emotion,posttest,No Emotion,841,203,638,0.3891625615763547,0.3667711598746082,-0.022391401701746527,-0.038470497233966075,0.37217598097502974
PSA29FC||No Emotion vs. Emotion||posttest,1,PSA29FC,No Emotion vs. Emotion,posttest,No Emotion,370,80,290,0.5125,0.5344827586206896,0.021982758620689657,0.05067615297369901,0.5297297297297298
PSA2KMP||Non-Adaptive vs. Adaptive||posttest,2,PSA2KMP,Non-Adaptive vs. Adaptive,posttest,Non-Adaptive,1982,1038,944,0.3930635838150289,0.3728813559322034,-0.020182227882825532,-0.0312389406693572,0.3834510595358224
PSA2KMQ||Non-Adaptive vs. Adaptive||posttest,3,PSA2KMQ,Non-Adaptive vs. Adaptive,posttest,Non-Adaptive,356,174,182,0.25862068965517243,0.24725274725274726,-0.011367942402425169,-0.05835514768115547,0.25280898876404495
PSA2KNM||Non-Motivational vs. Motivational||posttest,4,PSA2KNM,Non-Motivational vs. Motivational,posttest,Non-Motivational,1433,485,948,0.32783505154639175,0.339662447257384,0.011827395710992228,0.025609749332295057,0.33565945568736916
PSA2KNP||Non-Motivational vs. Motivational||posttest,5,PSA2KNP,Non-Motivational vs. Motivational,posttest,Non-Motivational,397,143,254,0.32867132867132864,0.2755905511811024,-0.05308077749022627,-0.07139551839412404,0.2947103274559194
PSA2KNR||Non-Motivational vs. Motivational||posttest,6,PSA2KNR,Non-Motivational vs. Motivational,posttest,Non-Motivational,2033,1045,988,0.6392344497607656,0.6427125506072875,0.003478100846521892,0.011502358571231889,0.6409247417609444
PSA2KPV||Non-Adaptive vs. Adaptive||posttest,7,PSA2KPV,Non-Adaptive vs. Adaptive,posttest,Non-Adaptive,749,343,406,0.33527696793002915,0.3054187192118227,-0.02985824871820647,-0.037298377237549835,0.3190921228304406
PSA2KQB||Non-Motivational vs. Motivational||posttest,8,PSA2KQB,Non-Motivational vs. Motivational,posttest,Non-Motivational,319,153,166,0.6470588235294118,0.5903614457831325,-0.056697377746279254,-0.1012749566534129,0.6175548589341693
PSA52JK||Multiple Choice vs. Fill-In||posttest,9,PSA52JK,Multiple Choice vs. Fill-In,posttest,Multiple Choice,2336,1192,1144,0.41778523489932884,0.4519230769230769,0.03413784202374809,0.0729026861987091,0.4345034246575342
