experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSAJ4YN,3851,,,,,assignment_started,2019-03-18 15:41:07.491000-04:00,1359102
PSAJ4YN,3851,PRAV3ZU,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment]/Intro Video [ignore],problem_started,2019-03-18 15:41:09.044000-04:00,1359106
PSAJ4YN,3851,,,,,assignment_resumed,2019-03-18 15:41:32.485000-04:00,1359108
PSAJ4YN,3851,,,,,assignment_resumed,2019-03-18 18:11:57.217000-04:00,1361273
PSAJ4YN,3851,PRAV3ZU,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment]/Intro Video [ignore],correct_response,2019-03-18 18:12:25.495000-04:00,1361287
PSAJ4YN,3851,PRAV3ZU,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment]/Intro Video [ignore],problem_finished,2019-03-18 18:12:25.503000-04:00,1361288
PSAJ4YN,3851,,,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],continue_selected,2019-03-18 18:12:26.984000-04:00,1361290
PSAJ4YN,3851,PRAV549,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],problem_started,2019-03-18 18:12:27.360000-04:00,1361291
PSAJ4YN,3851,PRAV549,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],correct_response,2019-03-18 18:13:38.322000-04:00,1361292
PSAJ4YN,3851,PRAV549,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],problem_finished,2019-03-18 18:13:38.331000-04:00,1361293
PSAJ4YN,3851,,,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],continue_selected,2019-03-18 18:13:39.414000-04:00,1361294
PSAJ4YN,3851,PRAV54B,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],problem_started,2019-03-18 18:13:39.496000-04:00,1361295
PSAJ4YN,3851,PRAV54B,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],correct_response,2019-03-18 19:04:24.228000-04:00,1361938
PSAJ4YN,3851,PRAV54B,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],problem_finished,2019-03-18 19:04:24.237000-04:00,1361939
PSAJ4YN,3851,,,,,assignment_finished,2019-03-18 19:04:24.326000-04:00,1361941
PSAJ4YN,3902,,,,,assignment_started,2019-03-18 15:31:14.607000-04:00,1358786
PSAJ4YN,3902,PRAV3ZU,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment]/Intro Video [ignore],problem_started,2019-03-18 15:31:14.908000-04:00,1358790
PSAJ4YN,3902,PRAV3ZU,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment]/Intro Video [ignore],correct_response,2019-03-18 15:31:25.653000-04:00,1358800
PSAJ4YN,3902,PRAV3ZU,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment]/Intro Video [ignore],problem_finished,2019-03-18 15:31:25.655000-04:00,1358805
PSAJ4YN,3902,,,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],continue_selected,2019-03-18 15:31:27.606000-04:00,1358807
PSAJ4YN,3902,PRAV549,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],problem_started,2019-03-18 15:31:27.678000-04:00,1358808
PSAJ4YN,3902,,,,,assignment_resumed,2019-03-25 16:02:18.431000-04:00,1518957
PSAJ4YN,3902,PRAV549,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],wrong_response,2019-03-25 16:02:26.273000-04:00,1518961
PSAJ4YN,3902,PRAV549,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],scaffolding_requested,2019-03-25 16:02:26.276000-04:00,1518963
PSAJ4YN,3902,PRAV549,1.0,855257.0,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],problem_started,2019-03-25 16:02:26.405000-04:00,1518966
PSAJ4YN,3902,PRAV549,1.0,855257.0,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],correct_response,2019-03-25 16:02:32.892000-04:00,1518967
PSAJ4YN,3902,PRAV549,1.0,855257.0,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],problem_finished,2019-03-25 16:02:32.894000-04:00,1518969
PSAJ4YN,3902,PRAV549,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],problem_finished,2019-03-25 16:02:32.944000-04:00,1518973
PSAJ4YN,3902,,,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],continue_selected,2019-03-25 16:02:34.654000-04:00,1518974
PSAJ4YN,3902,PRAV54B,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],problem_started,2019-03-25 16:02:34.779000-04:00,1518975
PSAJ4YN,3902,PRAV54B,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],wrong_response,2019-03-25 16:02:56.856000-04:00,1518987
PSAJ4YN,3902,PRAV54B,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],scaffolding_requested,2019-03-25 16:02:56.859000-04:00,1518989
PSAJ4YN,3902,PRAV54B,1.0,855224.0,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],problem_started,2019-03-25 16:02:56.997000-04:00,1518992
PSAJ4YN,3902,PRAV54B,1.0,855224.0,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],correct_response,2019-03-25 16:03:07.228000-04:00,1518993
PSAJ4YN,3902,PRAV54B,1.0,855224.0,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],problem_finished,2019-03-25 16:03:07.230000-04:00,1518994
PSAJ4YN,3902,PRAV54B,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],problem_finished,2019-03-25 16:03:07.273000-04:00,1518998
PSAJ4YN,3902,,,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],continue_selected,2019-03-25 16:03:08.201000-04:00,1518999
PSAJ4YN,3902,PRAV542,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],problem_started,2019-03-25 16:03:08.266000-04:00,1519000
PSAJ4YN,3902,PRAV542,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],wrong_response,2019-03-25 16:04:25.643000-04:00,1519017
PSAJ4YN,3902,PRAV542,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],scaffolding_requested,2019-03-25 16:04:25.646000-04:00,1519022
PSAJ4YN,3902,PRAV542,1.0,855248.0,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],problem_started,2019-03-25 16:04:25.968000-04:00,1519025
PSAJ4YN,3902,PRAV542,1.0,855248.0,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],correct_response,2019-03-25 16:04:32.729000-04:00,1519026
PSAJ4YN,3902,PRAV542,1.0,855248.0,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],problem_finished,2019-03-25 16:04:32.730000-04:00,1519027
PSAJ4YN,3902,PRAV542,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],problem_finished,2019-03-25 16:04:32.784000-04:00,1519031
PSAJ4YN,3902,,,,,assignment_resumed,2019-04-02 16:30:39.758000-04:00,1716340
PSAJ4YN,3902,PRAV55A,1.0,,Composition of Functions F-BF.A.1c EX/E991245640 [treatment],problem_started,2019-04-02 16:30:40.232000-04:00,1716343
PSAJ4YN,3908,,,,,assignment_started,2019-03-18 21:44:48.313000-04:00,1363671
PSAJ4YN,3908,PRAV3ZU,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control]/Intro Video [ignore],problem_started,2019-03-18 21:44:49.099000-04:00,1363675
PSAJ4YN,3908,PRAV3ZU,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control]/Intro Video [ignore],correct_response,2019-03-18 21:45:15.256000-04:00,1363677
PSAJ4YN,3908,PRAV3ZU,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control]/Intro Video [ignore],problem_finished,2019-03-18 21:45:15.260000-04:00,1363678
PSAJ4YN,3908,,,,Composition of Functions F-BF.A.1c EX/C123658385 [control],continue_selected,2019-03-18 21:45:17.994000-04:00,1363680
PSAJ4YN,3908,PRAVWNM,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-18 21:45:18.055000-04:00,1363681
PSAJ4YN,3908,,,,,assignment_resumed,2019-03-21 21:26:36.338000-04:00,1465097
PSAJ4YN,3908,PRAVWNM,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],wrong_response,2019-03-21 21:35:02.905000-04:00,1465240
PSAJ4YN,3908,PRAVWNM,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],scaffolding_requested,2019-03-21 21:35:02.911000-04:00,1465242
PSAJ4YN,3908,PRAVWNM,1.0,855510.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-21 21:35:03.103000-04:00,1465245
PSAJ4YN,3908,PRAVWNM,1.0,855510.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],correct_response,2019-03-21 21:37:08.334000-04:00,1465268
PSAJ4YN,3908,PRAVWNM,1.0,855510.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-21 21:37:08.338000-04:00,1465269
PSAJ4YN,3908,PRAVWNM,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-21 21:37:08.435000-04:00,1465273
PSAJ4YN,3908,,,,Composition of Functions F-BF.A.1c EX/C123658385 [control],continue_selected,2019-03-21 21:37:12.918000-04:00,1465274
PSAJ4YN,3908,PRAVWKH,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-21 21:37:12.969000-04:00,1465275
PSAJ4YN,3908,PRAVWKH,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],wrong_response,2019-03-21 22:07:07.109000-04:00,1465614
PSAJ4YN,3908,PRAVWKH,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],scaffolding_requested,2019-03-21 22:07:07.114000-04:00,1465620
PSAJ4YN,3908,PRAVWKH,1.0,855609.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-21 22:07:07.297000-04:00,1465623
PSAJ4YN,3908,PRAVWKH,1.0,855609.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],correct_response,2019-03-21 22:08:03.070000-04:00,1465646
PSAJ4YN,3908,PRAVWKH,1.0,855609.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-21 22:08:03.072000-04:00,1465647
PSAJ4YN,3908,PRAVWKH,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-21 22:08:03.161000-04:00,1465651
PSAJ4YN,3908,,,,Composition of Functions F-BF.A.1c EX/C123658385 [control],continue_selected,2019-03-21 22:08:05.377000-04:00,1465652
PSAJ4YN,3908,PRAVWMG,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-21 22:08:05.436000-04:00,1465653
PSAJ4YN,3908,PRAVWMG,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],correct_response,2019-03-21 22:24:40.487000-04:00,1465787
PSAJ4YN,3908,PRAVWMG,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-21 22:24:40.492000-04:00,1465788
PSAJ4YN,3908,,,,Composition of Functions F-BF.A.1c EX/C123658385 [control],continue_selected,2019-03-21 22:24:53.082000-04:00,1465789
PSAJ4YN,3908,PRAVWNN,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-21 22:24:53.133000-04:00,1465790
PSAJ4YN,3908,PRAVWNN,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],correct_response,2019-03-21 22:30:48.943000-04:00,1465801
PSAJ4YN,3908,PRAVWNN,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-21 22:30:48.946000-04:00,1465802
PSAJ4YN,3908,,,,Composition of Functions F-BF.A.1c EX/C123658385 [control],continue_selected,2019-03-21 22:30:50.587000-04:00,1465803
PSAJ4YN,3908,PRAVWKJ,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-21 22:30:50.638000-04:00,1465804
PSAJ4YN,3908,PRAVWKJ,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],correct_response,2019-03-21 22:38:10.099000-04:00,1465831
PSAJ4YN,3908,PRAVWKJ,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-21 22:38:10.101000-04:00,1465832
PSAJ4YN,3908,,,,,assignment_finished,2019-03-21 22:38:10.166000-04:00,1465834
PSAJ4YN,3909,,,,,assignment_started,2019-03-30 17:20:25.367000-04:00,1662203
PSAJ4YN,3909,PRAV3ZU,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control]/Intro Video [ignore],problem_started,2019-03-30 17:20:28.061000-04:00,1662207
PSAJ4YN,3909,PRAV3ZU,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control]/Intro Video [ignore],correct_response,2019-03-30 17:20:55.843000-04:00,1662208
PSAJ4YN,3909,PRAV3ZU,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control]/Intro Video [ignore],problem_finished,2019-03-30 17:20:55.877000-04:00,1662209
PSAJ4YN,3909,,,,Composition of Functions F-BF.A.1c EX/C123658385 [control],continue_selected,2019-03-30 17:20:57.977000-04:00,1662211
PSAJ4YN,3909,PRAVWNM,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-30 17:20:58.991000-04:00,1662212
PSAJ4YN,3909,PRAVWNM,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],correct_response,2019-03-30 17:21:48.575000-04:00,1662213
PSAJ4YN,3909,PRAVWNM,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-30 17:21:48.599000-04:00,1662214
PSAJ4YN,3909,,,,Composition of Functions F-BF.A.1c EX/C123658385 [control],continue_selected,2019-03-30 17:21:51.569000-04:00,1662215
PSAJ4YN,3909,PRAVWKH,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-30 17:21:52.230000-04:00,1662216
PSAJ4YN,3909,PRAVWKH,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],correct_response,2019-03-30 17:22:47.031000-04:00,1662217
PSAJ4YN,3909,PRAVWKH,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-30 17:22:47.051000-04:00,1662218
PSAJ4YN,3909,,,,,assignment_finished,2019-03-30 17:22:47.607000-04:00,1662220
PSAJ4YN,3910,,,,,assignment_started,2019-03-19 08:06:11.135000-04:00,1365209
PSAJ4YN,3910,PRAV3ZU,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control]/Intro Video [ignore],problem_started,2019-03-19 08:06:11.562000-04:00,1365213
PSAJ4YN,3910,PRAV3ZU,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control]/Intro Video [ignore],correct_response,2019-03-19 08:06:45.808000-04:00,1365237
PSAJ4YN,3910,PRAV3ZU,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control]/Intro Video [ignore],problem_finished,2019-03-19 08:06:45.813000-04:00,1365239
PSAJ4YN,3910,,,,Composition of Functions F-BF.A.1c EX/C123658385 [control],continue_selected,2019-03-19 08:06:48.461000-04:00,1365241
PSAJ4YN,3910,PRAVWNM,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-19 08:06:48.618000-04:00,1365242
PSAJ4YN,3910,PRAVWNM,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],wrong_response,2019-03-19 08:07:56.137000-04:00,1365310
PSAJ4YN,3910,PRAVWNM,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],scaffolding_requested,2019-03-19 08:07:56.147000-04:00,1365324
PSAJ4YN,3910,PRAVWNM,1.0,855510.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-19 08:07:56.282000-04:00,1365327
PSAJ4YN,3910,PRAVWNM,1.0,855510.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],correct_response,2019-03-19 08:08:31.709000-04:00,1365343
PSAJ4YN,3910,PRAVWNM,1.0,855510.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-19 08:08:31.718000-04:00,1365360
PSAJ4YN,3910,PRAVWNM,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-19 08:08:31.789000-04:00,1365364
PSAJ4YN,3910,,,,Composition of Functions F-BF.A.1c EX/C123658385 [control],continue_selected,2019-03-19 08:08:53.551000-04:00,1365375
PSAJ4YN,3910,PRAVWKH,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-19 08:08:53.624000-04:00,1365376
PSAJ4YN,3910,PRAVWKH,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],wrong_response,2019-03-19 08:09:05.176000-04:00,1365389
PSAJ4YN,3910,PRAVWKH,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],scaffolding_requested,2019-03-19 08:09:05.183000-04:00,1365395
PSAJ4YN,3910,PRAVWKH,1.0,855609.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-19 08:09:05.306000-04:00,1365398
PSAJ4YN,3910,PRAVWKH,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],correct_response,2019-03-19 08:09:12.740000-04:00,1365399
PSAJ4YN,3910,PRAVWKH,1.0,855609.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-19 08:09:12.773000-04:00,1365400
PSAJ4YN,3910,PRAVWKH,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-19 08:09:12.829000-04:00,1365404
PSAJ4YN,3910,,,,Composition of Functions F-BF.A.1c EX/C123658385 [control],continue_selected,2019-03-19 08:09:14.255000-04:00,1365405
PSAJ4YN,3910,PRAVWMG,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-19 08:09:14.330000-04:00,1365406
PSAJ4YN,3910,PRAVWMG,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],scaffolding_requested,2019-03-19 08:11:40.778000-04:00,1365510
PSAJ4YN,3910,PRAVWMG,1.0,855611.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-19 08:11:41.007000-04:00,1365517
PSAJ4YN,3910,PRAVWMG,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],correct_response,2019-03-19 08:12:05.554000-04:00,1365518
PSAJ4YN,3910,PRAVWMG,1.0,855611.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-19 08:12:05.584000-04:00,1365519
PSAJ4YN,3910,PRAVWMG,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-19 08:12:05.662000-04:00,1365532
PSAJ4YN,3910,,,,Composition of Functions F-BF.A.1c EX/C123658385 [control],continue_selected,2019-03-19 08:12:22.798000-04:00,1365538
PSAJ4YN,3910,PRAVWNN,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-19 08:12:22.885000-04:00,1365539
PSAJ4YN,3910,PRAVWNN,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],scaffolding_requested,2019-03-19 08:12:26.850000-04:00,1365552
PSAJ4YN,3910,PRAVWNN,1.0,855612.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-19 08:12:26.988000-04:00,1365560
PSAJ4YN,3910,PRAVWNN,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],correct_response,2019-03-19 08:12:37.104000-04:00,1365561
PSAJ4YN,3910,PRAVWNN,1.0,855612.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-19 08:12:37.130000-04:00,1365562
PSAJ4YN,3910,PRAVWNN,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-19 08:12:37.190000-04:00,1365566
PSAJ4YN,3910,,,,Composition of Functions F-BF.A.1c EX/C123658385 [control],continue_selected,2019-03-19 08:12:43.108000-04:00,1365567
PSAJ4YN,3910,PRAVWKJ,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-19 08:12:43.168000-04:00,1365568
PSAJ4YN,3910,PRAVWKJ,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],scaffolding_requested,2019-03-19 08:12:47.583000-04:00,1365571
PSAJ4YN,3910,PRAVWKJ,1.0,855613.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-19 08:12:47.708000-04:00,1365589
PSAJ4YN,3910,PRAVWKJ,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],correct_response,2019-03-19 08:12:58.064000-04:00,1365594
PSAJ4YN,3910,PRAVWKJ,1.0,855613.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-19 08:12:58.098000-04:00,1365595
PSAJ4YN,3910,PRAVWKJ,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-19 08:12:58.161000-04:00,1365599
PSAJ4YN,3910,,,,Composition of Functions F-BF.A.1c EX/C123658385 [control],continue_selected,2019-03-19 08:13:14.364000-04:00,1365605
PSAJ4YN,3910,PRAVWMH,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-19 08:13:14.428000-04:00,1365606
PSAJ4YN,3910,PRAVWMH,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],scaffolding_requested,2019-03-19 08:13:16.720000-04:00,1365608
PSAJ4YN,3910,PRAVWMH,1.0,855614.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-19 08:13:16.836000-04:00,1365618
PSAJ4YN,3910,PRAVWMH,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],correct_response,2019-03-19 08:13:29.530000-04:00,1365619
PSAJ4YN,3910,PRAVWMH,1.0,855614.0,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-19 08:13:29.565000-04:00,1365620
PSAJ4YN,3910,PRAVWMH,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-19 08:13:29.618000-04:00,1365624
PSAJ4YN,3910,,,,Composition of Functions F-BF.A.1c EX/C123658385 [control],continue_selected,2019-03-19 08:13:31.187000-04:00,1365625
PSAJ4YN,3910,PRAVWMA,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-19 08:13:31.253000-04:00,1365626
PSAJ4YN,3910,PRAVWMA,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],hint_requested,2019-03-19 08:13:35.691000-04:00,1365629
PSAJ4YN,3910,PRAVWMA,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],wrong_response,2019-03-19 08:13:46.848000-04:00,1365654
PSAJ4YN,3910,PRAVWMA,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],answer_requested,2019-03-19 08:13:54.509000-04:00,1365655
PSAJ4YN,3910,PRAVWMA,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],correct_response,2019-03-19 08:14:09.952000-04:00,1365668
PSAJ4YN,3910,PRAVWMA,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-19 08:14:09.958000-04:00,1365669
PSAJ4YN,3910,,,,Composition of Functions F-BF.A.1c EX/C123658385 [control],continue_selected,2019-03-19 08:14:11.288000-04:00,1365670
PSAJ4YN,3910,PRAVWNS,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-19 08:14:11.353000-04:00,1365671
PSAJ4YN,3910,PRAVWNS,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],hint_requested,2019-03-19 08:14:19.418000-04:00,1365674
PSAJ4YN,3910,PRAVWNS,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],answer_requested,2019-03-19 08:14:32.481000-04:00,1365694
PSAJ4YN,3910,PRAVWNS,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],correct_response,2019-03-19 08:14:37.867000-04:00,1365696
PSAJ4YN,3910,PRAVWNS,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-19 08:14:37.872000-04:00,1365697
PSAJ4YN,3910,,,,Composition of Functions F-BF.A.1c EX/C123658385 [control],continue_selected,2019-03-19 08:14:39.609000-04:00,1365706
PSAJ4YN,3910,PRAVWMX,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-19 08:14:39.670000-04:00,1365707
PSAJ4YN,3910,PRAVWMX,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],hint_requested,2019-03-19 08:14:46.452000-04:00,1365710
PSAJ4YN,3910,PRAVWMX,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],answer_requested,2019-03-19 08:14:47.798000-04:00,1365713
PSAJ4YN,3910,PRAVWMX,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],correct_response,2019-03-19 08:14:51.633000-04:00,1365715
PSAJ4YN,3910,PRAVWMX,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_finished,2019-03-19 08:14:51.642000-04:00,1365716
PSAJ4YN,3910,,,,Composition of Functions F-BF.A.1c EX/C123658385 [control],continue_selected,2019-03-19 08:14:54.208000-04:00,1365717
PSAJ4YN,3910,PRAVWNP,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],problem_started,2019-03-19 08:14:54.282000-04:00,1365718
PSAJ4YN,3910,PRAVWNP,1.0,,Composition of Functions F-BF.A.1c EX/C123658385 [control],hint_requested,2019-03-19 08:14:57.458000-04:00,1365723
