task_key,seed,n_full,n_biased,n0_biased,n1_biased,retention
PSA25TA||No Emotion vs. Emotion||posttest,42,841,439,115,324,0.5219976218787158
PSA29FC||No Emotion vs. Emotion||posttest,42,370,192,50,142,0.518918918918919
PSA2KMP||Non-Adaptive vs. Adaptive||posttest,42,1982,1052,575,477,0.5307769929364279
PSA2KMQ||Non-Adaptive vs. Adaptive||posttest,42,356,194,101,93,0.5449438202247191
PSA2KNM||Non-Motivational vs. Motivational||posttest,42,1433,776,278,498,0.5415212840195395
PSA2KNP||Non-Motivational vs. Motivational||posttest,42,397,208,84,124,0.5239294710327456
PSA2KNR||Non-Motivational vs. Motivational||posttest,42,2033,1081,574,507,0.5317265125430398
PSA2KPV||Non-Adaptive vs. Adaptive||posttest,42,749,380,177,203,0.507343124165554
PSA2KQB||Non-Motivational vs. Motivational||posttest,42,319,156,77,79,0.4890282131661442
PSA52JK||Multiple Choice vs. Fill-In||posttest,42,2336,1240,668,572,0.5308219178082192
PSA55VC||Multiple Choice vs. Fill-In||posttest,42,1721,923,488,435,0.536316095293434
PSA59TP||3 PTM vs. 4 PTM||posttest,42,897,487,251,236,0.5429208472686734
PSA59TP||3 PTM vs. 5 PTM||posttest,42,874,428,218,210,0.4897025171624714
PSA59TP||4 PTM vs. 5 PTM||posttest,42,869,434,221,213,0.4994246260069045
PSA59TP||No Choice vs. Choice||posttest,42,2563,1333,705,628,0.5200936402653141
PSA59TP||Problems Required for Mastery_No_Choice vs. Problems Required for Mastery_Choice||posttest,42,2563,1327,688,639,0.5177526336324619
PSA59TQ||Non-Motivational vs. Motivational||posttest,42,1781,915,482,433,0.5137563166760247
PSA59VC||Non-Adaptive vs. Adaptive||posttest,42,2099,1135,594,541,0.5407336827060505
PSA7GUA||Non-Motivational vs. Motivational||posttest,42,1755,925,459,466,0.5270655270655271
PSA98J7||No Choice vs. Choice||posttest,42,2484,1314,684,630,0.5289855072463768
PSA98J7||Text Color_No_Choice vs. Text Color_Choice||posttest,42,2484,1320,660,660,0.5314009661835749
PSA9XWV||Non-Motivational vs. Motivational||posttest,42,531,274,93,181,0.5160075329566854
PSAGF4||No Feedback vs. Common Wrong Answer Feedback||problems to mastery,42,1758,972,511,461,0.552901023890785
PSAH9CV||Non-Motivational vs. Motivational||problems to mastery,42,190,100,51,49,0.5263157894736842
PSAHQV||No Feedback vs. Common Wrong Answer Feedback||problems to mastery,42,5288,2784,1409,1375,0.5264750378214826
PSAKUSU||Non-Motivational vs. Motivational||problems to mastery,42,990,493,165,328,0.49797979797979797
PSAR5JG||Answer Only vs. Scaffolding||problem set correctness,42,358,181,64,117,0.505586592178771
PSAR9Y9||Non-Adaptive vs. Adaptive||problems to mastery,42,1271,674,328,346,0.5302911093627065
PSARZX2||No Choice vs. Choice||problem set correctness,42,410,204,102,102,0.4975609756097561
PSARZX2||Problem Difficulty_No_Choice vs. Problem Difficulty_Choice||problem set correctness,42,410,199,98,101,0.4853658536585366
PSASA4B||Non-Adaptive vs. Adaptive||posttest,42,394,207,108,99,0.5253807106598984
PSASDZY||Non-Adaptive vs. Adaptive||problems to mastery,42,489,249,151,98,0.50920245398773
PSASRKH||Answer Only vs. Hint||problems to mastery,42,233,128,64,64,0.5493562231759657
PSASRKH||Answer Only vs. Scaffolding||problems to mastery,42,242,146,61,85,0.6033057851239669
PSATNB2||Answer Only vs. Scaffolding||problems to mastery,42,685,371,189,182,0.5416058394160584
PSATNB2||Answer Only vs. Video Scaffolding||problems to mastery,42,698,365,188,177,0.5229226361031518
PSATNB2||Scaffolding vs. Video Scaffolding||problems to mastery,42,709,386,186,200,0.5444287729196051
PSATNB2||Text vs. Video||problems to mastery,42,709,353,181,172,0.4978843441466855
PSATNCQ||Answer Only vs. Hint||problems to mastery,42,130,76,40,36,0.5846153846153846
PSATNCQ||Answer Only vs. Scaffolding||problems to mastery,42,122,75,36,39,0.6147540983606558
PSATZEJ||Hint vs. Video Hint||problems to mastery,42,1056,568,288,280,0.5378787878787878
PSATZEJ||No Choice vs. Choice||problems to mastery,42,2113,1087,572,515,0.5144344533838144
PSATZEJ||Text vs. Video||problems to mastery,42,1056,570,284,286,0.5397727272727273
PSATZEJ||Video or Text_No_Choice vs. Video or Text_Choice||problems to mastery,42,2113,1086,556,530,0.513961192617132
PSAU4JD||No Choice vs. Choice||problem set correctness,42,550,307,155,152,0.5581818181818182
PSAU4JD||Problem Difficulty_No_Choice vs. Problem Difficulty_Choice||problem set correctness,42,550,286,148,138,0.52
PSAU6Y4||Answer Only vs. Example||problems to mastery,42,177,97,54,43,0.5480225988700564
PSAU6Y4||Answer Only vs. Hint||problems to mastery,42,194,113,60,53,0.5824742268041238
PSAU85Y||Answer Only vs. Example||problems to mastery,42,218,113,62,51,0.518348623853211
PSAU85Y||Answer Only vs. Scaffolding||problems to mastery,42,229,119,57,62,0.519650655021834
PSAU88D||Answer Only vs. Hint||problems to mastery,42,261,142,69,73,0.5440613026819924
PSAU88D||Answer Only vs. Scaffolding||problems to mastery,42,285,157,69,88,0.5508771929824562
PSAU88D||Answer Only vs. Video Scaffolding||problems to mastery,42,263,120,55,65,0.45627376425855515
PSAU88D||Scaffolding vs. Video Scaffolding||problems to mastery,42,298,158,87,71,0.5302013422818792
PSAU88D||Text vs. Video||problems to mastery,42,298,151,87,64,0.5067114093959731
PSAUK57||Answer Only vs. Example||problems to mastery,42,370,213,118,95,0.5756756756756757
PSAUK57||Answer Only vs. Hint||problems to mastery,42,374,190,91,99,0.5080213903743316
PSAUK57||Answer Only vs. Video Example||problems to mastery,42,366,200,109,91,0.546448087431694
PSAUK57||Example vs. Video Example||problems to mastery,42,358,192,97,95,0.5363128491620112
PSAUK57||Text vs. Video||problems to mastery,42,358,194,98,96,0.5418994413407822
PSAUKPM||Non-Adaptive vs. Adaptive||problems to mastery,42,368,184,79,105,0.5
PSAUTWT||2 PTM vs. 3 PTM||completion,42,355,183,93,90,0.5154929577464789
PSAUTWT||2 PTM vs. 4 PTM||completion,42,325,162,93,69,0.49846153846153846
PSAUTWT||3 PTM vs. 4 PTM||completion,42,330,166,93,73,0.503030303030303
PSAUTWT||No Choice vs. Choice||completion,42,1013,552,279,273,0.5449160908193484
PSAUTWT||Problems Required for Mastery_No_Choice vs. Problems Required for Mastery_Choice||completion,42,1013,536,272,264,0.5291214215202369
PSAUTWU||No Choice vs. Choice||problem set correctness,42,1008,517,272,245,0.5128968253968254
PSAUTWU||Problem Difficulty_No_Choice vs. Problem Difficulty_Choice||problem set correctness,42,1008,526,277,249,0.5218253968253969
PSAUUKY||No Choice vs. Choice||problem set correctness,42,1500,769,368,401,0.5126666666666667
PSAUUKY||Problem Difficulty_No_Choice vs. Problem Difficulty_Choice||problem set correctness,42,1500,782,373,409,0.5213333333333333
PSAV89B||Non-Motivational vs. Motivational||problems to mastery,42,1722,922,321,601,0.5354239256678281
PSAVTMK||2 PTM vs. 3 PTM||posttest,42,646,351,197,154,0.5433436532507739
PSAVTMK||2 PTM vs. 4 PTM||posttest,42,642,326,177,149,0.5077881619937694
PSAVTMK||2 PTM vs. 5 PTM||posttest,42,655,337,173,164,0.5145038167938931
PSAVTMK||3 PTM vs. 4 PTM||posttest,42,620,340,177,163,0.5483870967741935
PSAVTMK||3 PTM vs. 5 PTM||posttest,42,633,328,159,169,0.5181674565560821
PSAVTMK||4 PTM vs. 5 PTM||posttest,42,629,328,169,159,0.5214626391096979
PSAWHF4||No Choice vs. Choice||problems to mastery,42,1148,600,326,274,0.5226480836236934
PSAWHF4||Video or Text_No_Choice vs. Video or Text_Choice||problems to mastery,42,1148,600,313,287,0.5226480836236934
PSAWU6Z||Non-Motivational vs. Motivational||problems to mastery,42,956,475,179,296,0.49686192468619245
PSAZGQM||2 PTM vs. 3 PTM||posttest,42,166,87,52,35,0.5240963855421686
PSAZGQM||2 PTM vs. 4 PTM||posttest,42,178,93,52,41,0.5224719101123596
PSAZGQM||2 PTM vs. 5 PTM||posttest,42,173,98,49,49,0.5664739884393064
PSAZGQM||3 PTM vs. 4 PTM||posttest,42,156,81,34,47,0.5192307692307693
PSAZGQM||3 PTM vs. 5 PTM||posttest,42,151,79,38,41,0.5231788079470199
PSAZGQM||4 PTM vs. 5 PTM||posttest,42,163,87,47,40,0.5337423312883436
