experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSAZGQM,9811,,,,,assignment_started,2020-10-30 22:20:41.347000-04:00,401596412
PSAZGQM,9811,PRA85V5,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,problem_started,2020-10-30 22:20:41.653000-04:00,401596414
PSAZGQM,9811,PRA85V5,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,correct_response,2020-10-30 22:20:43.212000-04:00,401596422
PSAZGQM,9811,PRA85V5,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,problem_finished,2020-10-30 22:20:43.218000-04:00,401596426
PSAZGQM,9811,,,,Absolute Value Equation Solving A.REI.A.2 EX,continue_selected,2020-10-30 22:20:43.716000-04:00,401596427
PSAZGQM,9811,PRA8E4J,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/2 correct [treatment1],problem_started,2020-10-30 22:20:44.208000-04:00,401596430
PSAZGQM,9811,PRA8E4J,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/2 correct [treatment1],correct_response,2020-10-30 22:21:14.702000-04:00,401596669
PSAZGQM,9811,PRA8E4J,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/2 correct [treatment1],problem_finished,2020-10-30 22:21:14.709000-04:00,401596673
PSAZGQM,9811,,,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/2 correct [treatment1],continue_selected,2020-10-30 22:21:15.318000-04:00,401596674
PSAZGQM,9811,PRA8E4W,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/2 correct [treatment1],problem_started,2020-10-30 22:21:15.480000-04:00,401596675
PSAZGQM,9811,PRA8E4W,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/2 correct [treatment1],correct_response,2020-10-30 22:21:23.249000-04:00,401596713
PSAZGQM,9811,PRA8E4W,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/2 correct [treatment1],problem_finished,2020-10-30 22:21:23.252000-04:00,401596714
PSAZGQM,9811,,,,Absolute Value Equation Solving A.REI.A.2 EX,continue_selected,2020-10-30 22:21:23.639000-04:00,401596717
PSAZGQM,9811,PRA85DK,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,problem_started,2020-10-30 22:21:23.757000-04:00,401596718
PSAZGQM,9811,PRA85DK,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,correct_response,2020-10-30 22:21:26.756000-04:00,401596727
PSAZGQM,9811,PRA85DK,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,problem_finished,2020-10-30 22:21:26.761000-04:00,401596736
PSAZGQM,9811,,,,Absolute Value Equation Solving A.REI.A.2 EX,continue_selected,2020-10-30 22:21:27.360000-04:00,401596737
PSAZGQM,9811,PRA8Q9C,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/[posttest] Post-Test,problem_started,2020-10-30 22:21:27.622000-04:00,401596739
PSAZGQM,9811,PRA8Q9C,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/[posttest] Post-Test,wrong_response,2020-10-30 22:22:37.212000-04:00,401597308
PSAZGQM,9811,PRA8Q9C,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/[posttest] Post-Test,hint_requested,2020-10-30 22:22:41.059000-04:00,401597406
PSAZGQM,9811,PRA8Q9C,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/[posttest] Post-Test,hint_requested,2020-10-30 22:22:44.044000-04:00,401597407
PSAZGQM,9811,PRA8Q9C,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/[posttest] Post-Test,answer_requested,2020-10-30 22:22:46.343000-04:00,401597408
PSAZGQM,9811,PRA8Q9C,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/[posttest] Post-Test,correct_response,2020-10-30 22:23:12.172000-04:00,401597604
PSAZGQM,9811,PRA8Q9C,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/[posttest] Post-Test,problem_finished,2020-10-30 22:23:12.177000-04:00,401597605
PSAZGQM,9811,,,,,assignment_finished,2020-10-30 22:23:12.262000-04:00,401597611
PSAZGQM,9812,,,,,assignment_started,2020-09-10 16:34:40.547000-04:00,236033425
PSAZGQM,9812,PRA85V5,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,problem_started,2020-09-10 16:34:40.790000-04:00,236033427
PSAZGQM,9812,PRA85V5,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,correct_response,2020-09-10 16:34:44.831000-04:00,236033724
PSAZGQM,9812,PRA85V5,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,problem_finished,2020-09-10 16:34:44.836000-04:00,236033947
PSAZGQM,9812,,,,Absolute Value Equation Solving A.REI.A.2 EX,continue_selected,2020-09-10 16:34:46.636000-04:00,236033948
PSAZGQM,9812,PRA8GAA,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/3 correct [treatment2],problem_started,2020-09-10 16:34:47.124000-04:00,236033951
PSAZGQM,9812,PRA8GAA,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/3 correct [treatment2],correct_response,2020-09-10 16:35:21.826000-04:00,236036699
PSAZGQM,9812,PRA8GAA,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/3 correct [treatment2],problem_finished,2020-09-10 16:35:21.833000-04:00,236036743
PSAZGQM,9812,,,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/3 correct [treatment2],continue_selected,2020-09-10 16:35:22.529000-04:00,236036744
PSAZGQM,9812,PRA8E6N,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/3 correct [treatment2],problem_started,2020-09-10 16:35:22.647000-04:00,236036745
PSAZGQM,9812,PRA8E6N,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/3 correct [treatment2],correct_response,2020-09-10 16:36:14.805000-04:00,236040853
PSAZGQM,9812,PRA8E6N,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/3 correct [treatment2],problem_finished,2020-09-10 16:36:14.807000-04:00,236040876
PSAZGQM,9812,,,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/3 correct [treatment2],continue_selected,2020-09-10 16:36:15.159000-04:00,236040877
PSAZGQM,9812,PRA8E6T,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/3 correct [treatment2],problem_started,2020-09-10 16:36:15.216000-04:00,236040878
PSAZGQM,9812,PRA8E6T,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/3 correct [treatment2],correct_response,2020-09-10 16:38:39.757000-04:00,236052156
PSAZGQM,9812,PRA8E6T,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/3 correct [treatment2],problem_finished,2020-09-10 16:38:39.760000-04:00,236052182
PSAZGQM,9812,,,,Absolute Value Equation Solving A.REI.A.2 EX,continue_selected,2020-09-10 16:38:40.134000-04:00,236052185
PSAZGQM,9812,PRA85DK,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,problem_started,2020-09-10 16:38:40.201000-04:00,236052186
PSAZGQM,9812,PRA85DK,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,correct_response,2020-09-10 16:38:42.081000-04:00,236052302
PSAZGQM,9812,PRA85DK,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,problem_finished,2020-09-10 16:38:42.083000-04:00,236052402
PSAZGQM,9812,,,,Absolute Value Equation Solving A.REI.A.2 EX,continue_selected,2020-09-10 16:38:42.918000-04:00,236052403
PSAZGQM,9812,PRA8Q9C,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/[posttest] Post-Test,problem_started,2020-09-10 16:38:43.093000-04:00,236052405
PSAZGQM,9812,PRA8Q9C,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/[posttest] Post-Test,wrong_response,2020-09-10 16:40:07.503000-04:00,236059630
PSAZGQM,9812,PRA8Q9C,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/[posttest] Post-Test,correct_response,2020-09-10 16:40:27.972000-04:00,236061409
PSAZGQM,9812,PRA8Q9C,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/[posttest] Post-Test,problem_finished,2020-09-10 16:40:27.976000-04:00,236061410
PSAZGQM,9812,,,,,assignment_finished,2020-09-10 16:40:28.053000-04:00,236061444
PSAZGQM,9813,,,,,assignment_started,2020-06-18 13:29:30.833000-04:00,183549427
PSAZGQM,9813,PRA85V5,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,problem_started,2020-06-18 13:29:32.153000-04:00,183549429
PSAZGQM,9813,PRA85V5,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,correct_response,2020-06-18 13:29:38.468000-04:00,183549470
PSAZGQM,9813,PRA85V5,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,problem_finished,2020-06-18 13:29:38.534000-04:00,183549506
PSAZGQM,9813,,,,Absolute Value Equation Solving A.REI.A.2 EX,continue_selected,2020-06-18 13:29:40.372000-04:00,183549507
PSAZGQM,9813,PRA8E4T,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/4 correct [treatment3],problem_started,2020-06-18 13:29:44.241000-04:00,183549510
PSAZGQM,9813,PRA8E4T,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/4 correct [treatment3],correct_response,2020-06-18 13:31:32.685000-04:00,183550155
PSAZGQM,9813,PRA8E4T,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/4 correct [treatment3],problem_finished,2020-06-18 13:31:32.736000-04:00,183550160
PSAZGQM,9813,,,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/4 correct [treatment3],continue_selected,2020-06-18 13:31:34.255000-04:00,183550161
PSAZGQM,9813,PRA8E4Q,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/4 correct [treatment3],problem_started,2020-06-18 13:31:35.180000-04:00,183550162
PSAZGQM,9813,PRA8E4Q,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/4 correct [treatment3],correct_response,2020-06-18 13:32:43.373000-04:00,183550513
PSAZGQM,9813,PRA8E4Q,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/4 correct [treatment3],problem_finished,2020-06-18 13:32:43.410000-04:00,183550532
PSAZGQM,9813,,,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/4 correct [treatment3],continue_selected,2020-06-18 13:32:44.630000-04:00,183550533
PSAZGQM,9813,PRA8E5C,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/4 correct [treatment3],problem_started,2020-06-18 13:32:46.072000-04:00,183550534
PSAZGQM,9813,PRA8E5C,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/4 correct [treatment3],correct_response,2020-06-18 13:34:06.302000-04:00,183551035
PSAZGQM,9813,PRA8E5C,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/4 correct [treatment3],problem_finished,2020-06-18 13:34:06.340000-04:00,183551045
PSAZGQM,9813,,,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/4 correct [treatment3],continue_selected,2020-06-18 13:34:07.204000-04:00,183551046
PSAZGQM,9813,PRA8E4Y,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/4 correct [treatment3],problem_started,2020-06-18 13:34:07.904000-04:00,183551047
PSAZGQM,9813,PRA8E4Y,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/4 correct [treatment3],correct_response,2020-06-18 13:35:30.385000-04:00,183551412
PSAZGQM,9813,PRA8E4Y,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/Decision/4 correct [treatment3],problem_finished,2020-06-18 13:35:30.420000-04:00,183551420
PSAZGQM,9813,,,,Absolute Value Equation Solving A.REI.A.2 EX,continue_selected,2020-06-18 13:35:32.435000-04:00,183551433
PSAZGQM,9813,PRA85DK,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,problem_started,2020-06-18 13:35:32.857000-04:00,183551434
PSAZGQM,9813,PRA85DK,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,correct_response,2020-06-18 13:35:37.183000-04:00,183551454
PSAZGQM,9813,PRA85DK,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,problem_finished,2020-06-18 13:35:37.212000-04:00,183551485
PSAZGQM,9813,,,,Absolute Value Equation Solving A.REI.A.2 EX,continue_selected,2020-06-18 13:35:40.004000-04:00,183551486
PSAZGQM,9813,PRA8Q9C,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/[posttest] Post-Test,problem_started,2020-06-18 13:35:42.642000-04:00,183551488
PSAZGQM,9813,PRA8Q9C,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/[posttest] Post-Test,correct_response,2020-06-18 13:37:08.971000-04:00,183551881
PSAZGQM,9813,PRA8Q9C,1.0,,Absolute Value Equation Solving A.REI.A.2 EX/[posttest] Post-Test,problem_finished,2020-06-18 13:37:09.012000-04:00,183551897
PSAZGQM,9813,,,,,assignment_finished,2020-06-18 13:37:10.317000-04:00,183551900
PSAZGQM,9814,,,,,assignment_started,2020-09-29 17:18:00.578000-04:00,304726252
PSAZGQM,9814,PRA85V5,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,problem_started,2020-09-29 17:18:01.001000-04:00,304726256
PSAZGQM,9814,PRA85V5,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,correct_response,2020-09-29 17:18:32.168000-04:00,304728550
PSAZGQM,9814,PRA85V5,1.0,,Absolute Value Equation Solving A.REI.A.2 EX,problem_finished,2020-09-29 17:18:32.181000-04:00,304728648
PSAZGQM,9814,,,,Absolute Value Equation Solving A.REI.A.2 EX,continue_selected,2020-09-29 17:18:33.096000-04:00,304728649
