task_key,seed,n_full,n_biased,n0_biased,n1_biased,retention,dataset,dataset_label,dataset_short
PSA25TA||No Emotion vs. Emotion||posttest,42,841,439,115,324,0.5219976218787158,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA29FC||No Emotion vs. Emotion||posttest,42,370,192,50,142,0.518918918918919,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA2KMP||Non-Adaptive vs. Adaptive||posttest,42,1982,1052,575,477,0.5307769929364279,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA2KMQ||Non-Adaptive vs. Adaptive||posttest,42,356,194,101,93,0.5449438202247191,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA2KNM||Non-Motivational vs. Motivational||posttest,42,1433,776,278,498,0.5415212840195395,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA2KNP||Non-Motivational vs. Motivational||posttest,42,397,208,84,124,0.5239294710327456,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA2KNR||Non-Motivational vs. Motivational||posttest,42,2033,1081,574,507,0.5317265125430398,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA2KPV||Non-Adaptive vs. Adaptive||posttest,42,749,380,177,203,0.507343124165554,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA2KQB||Non-Motivational vs. Motivational||posttest,42,319,156,77,79,0.4890282131661442,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA52JK||Multiple Choice vs. Fill-In||posttest,42,2336,1240,668,572,0.5308219178082192,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA55VC||Multiple Choice vs. Fill-In||posttest,42,1721,923,488,435,0.536316095293434,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA59TP||3 PTM vs. 4 PTM||posttest,42,897,487,251,236,0.5429208472686734,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA59TP||3 PTM vs. 5 PTM||posttest,42,874,428,218,210,0.4897025171624714,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA59TP||4 PTM vs. 5 PTM||posttest,42,869,434,221,213,0.4994246260069045,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA59TP||No Choice vs. Choice||posttest,42,2563,1333,705,628,0.5200936402653141,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA59TP||Problems Required for Mastery_No_Choice vs. Problems Required for Mastery_Choice||posttest,42,2563,1327,688,639,0.5177526336324619,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA59TQ||Non-Motivational vs. Motivational||posttest,42,1781,915,482,433,0.5137563166760247,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA59VC||Non-Adaptive vs. Adaptive||posttest,42,2099,1135,594,541,0.5407336827060505,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA7GUA||Non-Motivational vs. Motivational||posttest,42,1755,925,459,466,0.5270655270655271,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA98J7||No Choice vs. Choice||posttest,42,2484,1314,684,630,0.5289855072463768,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA98J7||Text Color_No_Choice vs. Text Color_Choice||posttest,42,2484,1320,660,660,0.5314009661835749,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA9XWV||Non-Motivational vs. Motivational||posttest,42,531,274,93,181,0.5160075329566854,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSAGF4||No Feedback vs. Common Wrong Answer Feedback||problems to mastery,42,1758,972,511,461,0.552901023890785,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSAH9CV||Non-Motivational vs. Motivational||problems to mastery,42,190,100,51,49,0.5263157894736842,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSAHQV||No Feedback vs. Common Wrong Answer Feedback||problems to mastery,42,5288,2784,1409,1375,0.5264750378214826,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSAKUSU||Non-Motivational vs. Motivational||problems to mastery,42,990,493,165,328,0.4979797979797979,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSAR5JG||Answer Only vs. Scaffolding||problem set correctness,42,358,181,64,117,0.505586592178771,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSAR9Y9||Non-Adaptive vs. Adaptive||problems to mastery,42,1271,674,328,346,0.5302911093627065,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSARZX2||No Choice vs. Choice||problem set correctness,42,410,204,102,102,0.4975609756097561,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSARZX2||Problem Difficulty_No_Choice vs. Problem Difficulty_Choice||problem set correctness,42,410,199,98,101,0.4853658536585366,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSASA4B||Non-Adaptive vs. Adaptive||posttest,42,394,207,108,99,0.5253807106598984,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSASDZY||Non-Adaptive vs. Adaptive||problems to mastery,42,489,249,151,98,0.50920245398773,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSASRKH||Answer Only vs. Hint||problems to mastery,42,233,128,64,64,0.5493562231759657,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSASRKH||Answer Only vs. Scaffolding||problems to mastery,42,242,146,61,85,0.6033057851239669,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSATNB2||Answer Only vs. Scaffolding||problems to mastery,42,685,371,189,182,0.5416058394160584,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSATNB2||Answer Only vs. Video Scaffolding||problems to mastery,42,698,365,188,177,0.5229226361031518,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSATNB2||Scaffolding vs. Video Scaffolding||problems to mastery,42,709,386,186,200,0.5444287729196051,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSATNB2||Text vs. Video||problems to mastery,42,709,353,181,172,0.4978843441466855,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSATNCQ||Answer Only vs. Hint||problems to mastery,42,130,76,40,36,0.5846153846153846,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSATNCQ||Answer Only vs. Scaffolding||problems to mastery,42,122,75,36,39,0.6147540983606558,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSATZEJ||Hint vs. Video Hint||problems to mastery,42,1056,568,288,280,0.5378787878787878,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSATZEJ||No Choice vs. Choice||problems to mastery,42,2113,1087,572,515,0.5144344533838144,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSATZEJ||Text vs. Video||problems to mastery,42,1056,570,284,286,0.5397727272727273,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSATZEJ||Video or Text_No_Choice vs. Video or Text_Choice||problems to mastery,42,2113,1086,556,530,0.513961192617132,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
