experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSAWHF4,1635,,,,,assignment_started,2020-05-06 14:05:46.094000-04:00,135127916
PSAWHF4,1635,PRABAWMQ,1.0,,Pythagorean Theorem - Finding Leg or Hypotenuse 8.G.B.7 EX,problem_started,2020-05-06 14:05:47.143000-04:00,135127918
PSAWHF4,1635,,,,,assignment_resumed,2020-05-07 16:10:06.038000-04:00,138617204
PSAWHF4,1635,PRABAWMQ,1.0,,Pythagorean Theorem - Finding Leg or Hypotenuse 8.G.B.7 EX,correct_response,2020-05-07 16:10:24.156000-04:00,138618154
PSAWHF4,1635,PRABAWMQ,1.0,,Pythagorean Theorem - Finding Leg or Hypotenuse 8.G.B.7 EX,problem_finished,2020-05-07 16:10:24.169000-04:00,138618340
PSAWHF4,1635,,,,Pythagorean Theorem - Finding Leg or Hypotenuse 8.G.B.7 EX,continue_selected,2020-05-07 16:10:25.591000-04:00,138618341
PSAWHF4,1635,PRAUVJX,1.0,,Pythagorean Theorem - Finding Leg or Hypotenuse 8.G.B.7 EX/Study/NC/NC - Text [control2],problem_started,2020-05-07 16:10:26.858000-04:00,138618345
PSAWHF4,1635,PRAUVJX,1.0,,Pythagorean Theorem - Finding Leg or Hypotenuse 8.G.B.7 EX/Study/NC/NC - Text [control2],correct_response,2020-05-07 16:11:08.637000-04:00,138620524
PSAWHF4,1635,PRAUVJX,1.0,,Pythagorean Theorem - Finding Leg or Hypotenuse 8.G.B.7 EX/Study/NC/NC - Text [control2],problem_finished,2020-05-07 16:11:08.644000-04:00,138620595
PSAWHF4,1635,,,,Pythagorean Theorem - Finding Leg or Hypotenuse 8.G.B.7 EX/Study/NC/NC - Text [control2],continue_selected,2020-05-07 16:11:09.718000-04:00,138620596
PSAWHF4,1635,PRAUVJY,1.0,,Pythagorean Theorem - Finding Leg or Hypotenuse 8.G.B.7 EX/Study/NC/NC - Text [control2],problem_started,2020-05-07 16:11:09.896000-04:00,138620597
PSAWHF4,1635,PRAUVJY,1.0,,Pythagorean Theorem - Finding Leg or Hypotenuse 8.G.B.7 EX/Study/NC/NC - Text [control2],correct_response,2020-05-07 16:11:39.022000-04:00,138622011
PSAWHF4,1635,PRAUVJY,1.0,,Pythagorean Theorem - Finding Leg or Hypotenuse 8.G.B.7 EX/Study/NC/NC - Text [control2],problem_finished,2020-05-07 16:11:39.029000-04:00,138622099
PSAWHF4,1635,,,,Pythagorean Theorem - Finding Leg or Hypotenuse 8.G.B.7 EX/Study/NC/NC - Text [control2],continue_selected,2020-05-07 16:11:39.933000-04:00,138622100
PSAWHF4,1635,PRAUVJZ,1.0,,Pythagorean Theorem - Finding Leg or Hypotenuse 8.G.B.7 EX/Study/NC/NC - Text [control2],problem_started,2020-05-07 16:11:40.133000-04:00,138622101
PSAWHF4,1635,PRAUVJZ,1.0,,Pythagorean Theorem - Finding Leg or Hypotenuse 8.G.B.7 EX/Study/NC/NC - Text [control2],correct_response,2020-05-07 16:17:17.011000-04:00,138638373
PSAWHF4,1635,PRAUVJZ,1.0,,Pythagorean Theorem - Finding Leg or Hypotenuse 8.G.B.7 EX/Study/NC/NC - Text [control2],problem_finished,2020-05-07 16:17:17.016000-04:00,138638378
PSAWHF4,1635,,,,,assignment_finished,2020-05-07 16:17:17.363000-04:00,138638393
PSAWHF4,9310,,,,,assignment_started,2021-05-30 19:30:21.191000-04:00,746279310
PSAWHF4,9310,PRABAWMQ,1.0,,Pythagorean Theorem - Finding Leg or Hypotenuse 8.G.B.7 EX,problem_started,2021-05-30 19:30:21.933000-04:00,746279312
