task_key,task_id,experiment_id,independent_measure_pair,dependent_measure,category,n,n0,n1,true_value_t0,true_value_t1,true_ate,true_ate_normalized,y_rate,dataset,dataset_label,dataset_short
PSA25TA||No Emotion vs. Emotion||posttest,0,PSA25TA,No Emotion vs. Emotion,posttest,No Emotion,841,203,638,0.3891625615763547,0.3667711598746082,-0.0223914017017465,-0.038470497233966,0.3721759809750297,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA29FC||No Emotion vs. Emotion||posttest,1,PSA29FC,No Emotion vs. Emotion,posttest,No Emotion,370,80,290,0.5125,0.5344827586206896,0.0219827586206896,0.050676152973699,0.5297297297297298,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA2KMP||Non-Adaptive vs. Adaptive||posttest,2,PSA2KMP,Non-Adaptive vs. Adaptive,posttest,Non-Adaptive,1982,1038,944,0.3930635838150289,0.3728813559322034,-0.0201822278828255,-0.0312389406693572,0.3834510595358224,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA2KMQ||Non-Adaptive vs. Adaptive||posttest,3,PSA2KMQ,Non-Adaptive vs. Adaptive,posttest,Non-Adaptive,356,174,182,0.2586206896551724,0.2472527472527472,-0.0113679424024251,-0.0583551476811554,0.2528089887640449,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA2KNM||Non-Motivational vs. Motivational||posttest,4,PSA2KNM,Non-Motivational vs. Motivational,posttest,Non-Motivational,1433,485,948,0.3278350515463917,0.339662447257384,0.0118273957109922,0.025609749332295,0.3356594556873691,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA2KNP||Non-Motivational vs. Motivational||posttest,5,PSA2KNP,Non-Motivational vs. Motivational,posttest,Non-Motivational,397,143,254,0.3286713286713286,0.2755905511811024,-0.0530807774902262,-0.071395518394124,0.2947103274559194,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA2KNR||Non-Motivational vs. Motivational||posttest,6,PSA2KNR,Non-Motivational vs. Motivational,posttest,Non-Motivational,2033,1045,988,0.6392344497607656,0.6427125506072875,0.0034781008465218,0.0115023585712318,0.6409247417609444,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA2KPV||Non-Adaptive vs. Adaptive||posttest,7,PSA2KPV,Non-Adaptive vs. Adaptive,posttest,Non-Adaptive,749,343,406,0.3352769679300291,0.3054187192118227,-0.0298582487182064,-0.0372983772375498,0.3190921228304406,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA2KQB||Non-Motivational vs. Motivational||posttest,8,PSA2KQB,Non-Motivational vs. Motivational,posttest,Non-Motivational,319,153,166,0.6470588235294118,0.5903614457831325,-0.0566973777462792,-0.1012749566534129,0.6175548589341693,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
PSA52JK||Multiple Choice vs. Fill-In||posttest,9,PSA52JK,Multiple Choice vs. Fill-In,posttest,Multiple Choice,2336,1192,1144,0.4177852348993288,0.4519230769230769,0.034137842023748,0.0729026861987091,0.4345034246575342,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
